adder,5.544798286,350589
african,7.284544989,19255065
albatross,5.400415368,251429
alligator,5.714162885,517801
alpaca,4.956917231,90556
american,8.145126466,139677504
anchovy,5.194275622,156414
anemone,5.364160612,231292
ant,6.426146105,2667756
antelope,5.845170623,700117
ape,6.012398914,1028961
asian,6.798455065,6287168
asp,5.813126443,650319
ass,6.575836146,3765617
australian,6.530851419,3395091
baboon,5.366632115,232612
badger,5.803131956,635524
bass,6.631500792,4280562
bat,6.527307346,3367498
beagle,5.382460121,241246
bear,7.366226929,23239508
beaver,6.273193014,1875828
bee,6.523935877,3341457
beetle,6.021866684,1051639
bird,7.119400245,13164375
bison,5.778133878,599976
black,7.896060893,78715615
blackbird,5.486899235,306831
bluebird,5.313242737,205704
boar,5.909126871,811198
booby,5.348748668,223228
boxer,5.83892776,690125
bruin,5.038318077,109224
buck,6.477242551,3000838
buffalo,6.710471006,5134179
bug,6.151919343,1418794
bull,6.953478541,8984182
bulldog,5.406485677,254968
bullfrog,4.957559402,90690
bullock,5.849378255,706933
bulls,6.057553142,1141703
bumblebee,4.871660486,74415
bunny,5.809424355,644799
bunting,5.588324379,387547
butterfly,6.225709011,1681547
buzzard,5.410097009,257097
calf,6.367029612,2328250
camel,6.123051541,1327552
canary,5.80587722,639554
canine,5.927853157,846941
cardinal,6.704668529,5066039
caribou,5.660478423,457592
carp,5.675990856,474232
cat,7.013143358,10307263
caterpillar,5.827004623,671436
cattle,6.991457032,9805213
centipede,4.986283438,96891
chameleon,5.343097287,220342
chamois,5.240197177,173859
chick,6.095076204,1244733
chickadee,4.985974049,96822
chicken,6.827585591,6723348
chinook,5.354256382,226077
chipmunk,5.149619342,141130
clam,5.762969496,579388
cobra,5.674975897,473125
cock,6.346605457,2221291
cockle,5.011980441,102797
cod,6.294381564,1969616
collie,5.33323965,215397
colt,6.053553985,1131238
coney,5.456754598,286256
coral,6.331696294,2146329
cougar,5.313217401,205692
cow,6.679047222,4775812
coyote,6.007340169,1017045
crab,6.158116322,1439184
crane,6.40422836,2536462
crawfish,5.106731303,127859
crayfish,5.429524579,268859
cricket,5.980349759,955762
crocodile,5.741384054,551295
crow,6.398037974,2500564
cub,5.726807053,533098
cuckoo,5.697029591,497771
cuttlefish,4.756734973,57113
deer,6.706983738,5093118
devil,6.932462856,8559785
dodo,5.223345353,167242
doe,6.348022772,2228552
dog,7.256114028,18034912
dolphin,5.864843201,732560
donkey,6.018421695,1043330
dormouse,4.707697891,51015
dove,6.324396057,2110552
dragon,6.477683302,3003885
drake,6.296060925,1977247
dromedary,4.745504187,55655
duck,6.439638803,2751939
duckling,5.160282408,144638
eagle,6.640854253,4373753
eel,5.818212033,657979
elephant,6.363660295,2310257
elk,6.139565841,1379005
ermine,5.403002061,252931
ewe,5.498001612,314776
falcon,5.93662582,864223
fawn,5.733247034,541062
feline,5.559176205,362390
ferret,5.531510849,340025
finch,5.891181625,778362
firefly,5.169268746,147662
fish,7.344814258,22121484
fisher,6.604154313,4019336
flea,5.81714343,656362
flounder,5.421176002,263740
fly,7.029176525,10694895
foal,5.411560786,257965
fowl,6.059820813,1147680
fox,6.849727181,7075012
foxhound,4.300334568,19968
frog,6.319346573,2086155
gander,5.208849659,161752
gar,5.691204422,491139
gazelle,5.345203116,221413
gibbon,5.914347918,821009
girdle,5.943410914,877831
glaucus,5.09528445,124533
gnat,5.259366878,181705
goat,6.365838461,2321873
goby,4.540842315,34741
goldfinch,4.937713431,86639
goldfish,5.475262847,298719
goose,6.301955793,2004268
gopher,5.597291411,395632
gorilla,5.657093158,454039
grasshopper,5.629313758,425906
grenadier,5.2365423,172402
greyhound,5.599537026,397683
grizzly,5.735626042,544034
grouse,5.741210709,551075
grub,5.699742361,500890
grunt,5.6539762,450792
guanaco,4.531312832,33987
guinea,6.538172807,3452811
gull,5.752741229,565902
haddock,5.303176611,200991
halcyon,5.237744754,172880
hare,6.387898578,2442860
hawk,6.384581525,2424273
hedgehog,5.301448888,200193
heifer,5.482151541,303495
hen,6.445523252,2789480
heron,5.802004309,633876
herring,6.00100423,1002315
hippopotamus,5.258390618,181297
hog,6.119184601,1315784
horse,7.396710537,24929326
hound,5.993870748,985986
human,7.989650076,97645015
husky,5.729942744,536961
hyena,5.284998893,192752
ibex,4.825581891,66924
insect,6.519563532,3307985
insects,6.715288174,5191444
jack,7.197453111,15756259
jackal,5.364676669,231567
jackdaw,4.693507109,49375
jaguar,5.702579584,504173
jay,6.553945134,3580512
jellyfish,5.224579675,167718
kangaroo,5.566218227,368314
kid,6.77461447,5951336
killer,6.372521515,2357879
kingfisher,5.192818257,155890
kite,5.883034236,763896
kitten,5.855944762,717703
ladybug,4.670032365,46777
lamb,6.675464877,4736580
lark,5.903476337,800712
larva,5.976938423,948284
leafy,5.966976653,926780
leech,5.669471228,467166
lemming,4.733269508,54109
leopard,5.875985616,751598
lice,5.822029397,663788
lion,6.723957079,5296111
lioness,5.259252138,181657
lizard,5.89522027,785634
llama,5.269141534,185841
lobster,5.989108389,975233
locust,5.795195029,624015
loon,5.501360561,317220
louse,5.516622621,328566
lynx,5.512449579,325424
mackerel,5.555095658,359001
maggot,5.173780466,149204
magpie,5.296608158,197974
maltese,5.364340832,231388
mammoth,5.911730606,816076
manx,4.920801382,83330
mare,6.290514742,1952157
marmot,4.918208634,82834
marten,5.341286107,219425
merlin,5.872375405,745376
mink,5.673333376,471339
minnow,5.21399827,163681
mite,5.792850258,620655
moccasin,5.203511544,159776
mole,6.347595976,2226363
mollusk,4.948960379,88912
mongoose,4.984473304,96488
monitor,6.749865426,5621671
monkey,6.401926546,2523054
monster,6.500453842,3165584
moose,5.977754233,950067
mosquito,6.026549198,1063039
moth,6.090354709,1231274
mouse,6.776846046,5981995
mule,6.274039557,1879488
