dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.0_s2v,forage_static,NH,3528.924675340945,2.1415971058157104,8.011611008084566,
50,alpha_0.0_s2v,forage_dynamic_simdrop,NH,3448.5671640667356,3.651538629130095,7.967087720650602,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.0,NH,3538.229927908778,2.1034443746795435,7.950480086464125,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.1,NH,3500.8061867748224,3.0067028821695123,7.843422899578102,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.2,NH,3500.300991588847,3.007377799374259,7.846186826153927,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.30000000000000004,NH,3491.4077213248706,3.147675796065292,7.867854018970305,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.4,NH,3475.257646191084,3.3327551569289127,7.8756472607964,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.5,NH,3464.129542560196,3.5046882444856737,7.902401002382269,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.6000000000000001,NH,3458.6498476408055,3.5427064943945497,7.925932714195013,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.7000000000000001,NH,3451.398665746264,3.631110547219133,7.951915610558353,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.8,NH,3447.9909346921286,3.6669906575073283,7.964982690631918,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.9,NH,3449.4706432820917,3.6591236814964914,7.9684303699656756,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=1.0,NH,3448.5671640666046,3.6515380600749756,7.967087994063033,
50,alpha_0.0_s2v,forage_dynamic_norms_associative,NH,3510.0889626133717,4.065194429155728,7.637169634733222,
50,alpha_0.0_s2v,forage_dynamic_norms_categorical,NH,3537.3271583283035,3.068864690736381,7.602440697352863,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.0,NH,3432.9277733742806,4.835416501086027,7.712799064366382,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.25,NH,3422.877401531838,4.800527272805275,7.763801404979887,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.5,NH,3407.2244009851506,4.794993996513885,7.820763481646016,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.75,NH,3404.478370677448,4.6117160896851965,7.894013930404086,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=1.0,NH,3420.3473370516153,4.129468494456716,7.958560881729449,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.0,NH,3426.0248115598424,5.322142583630449,7.690647928528572,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.25,NH,3421.0123133012207,5.2197676160475,7.730591039524981,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.5,NH,3397.8859701250694,5.2177818180724405,7.8130978210676085,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.75,NH,3393.7385421418676,5.025247768008492,7.888541251415317,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=1.0,NH,3408.785008893193,4.51090538945632,7.9703478444361,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.5_fall=0.0,NH,3419.369486692944,6.263081463475451,7.650693876500799,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.5_fall=0.25,NH,3409.08561381516,6.228842182937056,7.685827272815662,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.5_fall=0.5,NH,3381.9793181146797,6.171335543618668,7.787999510408261,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.5_fall=0.75,NH,3377.262847502898,5.9281076469456275,7.870105024284034,
