alpha,model,mean_sem,mean_phon
1.0,s2v,0.47884694148874135,0.07659279466713938
1.0,w2v,0.48188170864257424,0.07659279466713938
0.2,s2v,0.480998278669024,0.07659279466713938
0.0,w2v,0.47884694148874135,0.07659279466713938
0.1,w2v,0.47865232379681766,0.07659279466713938
0.3,s2v,0.47970919302697684,0.07659279466713938
0.1,s2v,0.4816950212017596,0.07659279466713938
0.3,w2v,0.47699462142380666,0.07659279466713938
0.2,w2v,0.4779827307119966,0.07659279466713938
0.0,s2v,0.48188170864257424,0.07659279466713938
0.4,s2v,0.4780402950053413,0.07659279466713938
0.6,w2v,0.4780402950053413,0.07659279466713938
0.7,w2v,0.47970919302697684,0.07659279466713938
0.5,s2v,0.4766782510530907,0.07659279466713938
0.7,s2v,0.47699462142380666,0.07659279466713938
0.5,w2v,0.4766782510530907,0.07659279466713938
0.4,w2v,0.4763342647491009,0.07659279466713938
0.6,s2v,0.4763342647491009,0.07659279466713938
0.9,w2v,0.4816950212017596,0.07659279466713938
0.8,w2v,0.480998278669024,0.07659279466713938
0.8,s2v,0.4779827307119966,0.07659279466713938
0.9,s2v,0.47865232379681766,0.07659279466713938
