dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,NH,3526.3634903530447,3.4541565255863307,7.906841710550357,-0.0081536430992208
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,NH,3512.3614684161525,3.1789956784768147,7.849294372278043,0.065127164443562
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,NH,3475.9408791048936,3.411042807119228,7.948378444122955,-1.6747319293920762
50,alpha_0.5_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,NH,3525.536182829705,3.462275949069816,7.911128463060611,-0.0082272581641022
50,alpha_0.6_w2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,NH,3511.8998131542294,3.218940522018568,7.841123790687981,0.0673780636869971
50,alpha_0.6_w2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,NH,3472.233127597881,3.412569028689797,7.952422596135237,-1.8428053575195056
50,alpha_0.5_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,NH,3513.983345023002,3.6248465503604255,7.945302061204314,-0.0089154226200784
50,alpha_0.5_w2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,NH,3501.7907850187994,3.384367253812725,7.880272704413021,0.0619345183908523
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,NH,3468.2490111201987,3.5643462587886026,7.985870475538888,-1.5432775573404178
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,NH,3501.697146226281,3.776326740573938,7.956743717898344,-0.0103633216595684
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,NH,3491.2528347809466,3.504338925500646,7.889755158637976,0.0508050269371357
50,alpha_0.6_w2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,NH,3467.224179195446,3.6991569546556975,7.97133365569247,-1.244454599627017
50,alpha_0.5_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,NH,3486.720777778214,3.957016157989048,7.981974734119702,-0.0118575305029583
50,alpha_0.6_w2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,NH,3477.653338489834,3.7479827593626975,7.914204484344074,0.0426529859248301
