dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0_s2v,Dynamic/Simdrop,NH,3488.038620954074,3.919814590733218,8.013672955662653,n/a
50,alpha_0_s2v,Dynamic/Simdrop,CI,2927.4749998930456,4.581609293123751,8.690506199573292,n/a
50,alpha_0_w2v,Dynamic/Simdrop,NH,3495.317286508583,3.8384011806706417,8.139140985579164,n/a
50,alpha_0_w2v,Dynamic/Simdrop,CI,2921.399968186285,4.555131754788917,8.813830807000164,n/a
50,alpha_0.1_s2v,Dynamic/Simdrop,NH,3486.6138741387904,3.935487646217872,8.01549222602856,n/a
50,alpha_0.1_s2v,Dynamic/Simdrop,CI,2925.156462310534,4.589118345691217,8.69541538541167,n/a
50,alpha_0.1_w2v,Dynamic/Simdrop,NH,3494.7026309362077,3.856682227277642,8.13036856608823,n/a
50,alpha_0.1_w2v,Dynamic/Simdrop,CI,2920.8687263925876,4.565761500313851,8.80689902027895,n/a
50,alpha_0.2_s2v,Dynamic/Simdrop,NH,3484.6735361759647,3.9645221764706067,8.014466521304254,n/a
50,alpha_0.2_s2v,Dynamic/Simdrop,CI,2921.3174566741322,4.640260242768402,8.687569742544532,n/a
50,alpha_0.2_w2v,Dynamic/Simdrop,NH,3492.936286499231,3.8897603970904013,8.109435737443079,n/a
50,alpha_0.2_w2v,Dynamic/Simdrop,CI,2918.842728533246,4.599092814705034,8.78718147926583,n/a
50,alpha_0.3_s2v,Dynamic/Simdrop,NH,3480.803489607901,4.016916804222983,8.013775657368548,n/a
50,alpha_0.3_s2v,Dynamic/Simdrop,CI,2919.8945886650986,4.672164617264462,8.655534670671587,n/a
50,alpha_0.3_w2v,Dynamic/Simdrop,NH,3488.8150281898024,3.9691096320106243,8.078325980095785,n/a
50,alpha_0.3_w2v,Dynamic/Simdrop,CI,2916.338135576015,4.653442862898696,8.75017385862081,n/a
50,alpha_0.4_s2v,Dynamic/Simdrop,NH,3483.295354252127,4.051188775571899,8.00127196791198,n/a
50,alpha_0.4_s2v,Dynamic/Simdrop,CI,2919.5835466999915,4.74014862515495,8.681298946242286,n/a
50,alpha_0.4_w2v,Dynamic/Simdrop,NH,3482.649267591637,4.032278666085493,8.057565331694068,n/a
50,alpha_0.4_w2v,Dynamic/Simdrop,CI,2914.6520501686805,4.713968103786244,8.706440962541013,n/a
50,alpha_0.5_s2v,Dynamic/Simdrop,NH,3480.017430790415,4.059363044663049,7.995943285977767,n/a
50,alpha_0.5_s2v,Dynamic/Simdrop,CI,2915.345166812021,4.724012596828118,8.688122870662154,n/a
50,alpha_0.5_w2v,Dynamic/Simdrop,NH,3480.0174307902935,4.05936280523571,7.9959450606564415,n/a
50,alpha_0.5_w2v,Dynamic/Simdrop,CI,2915.3451668123976,4.724009884974228,8.68812509152648,n/a
50,alpha_0.6_s2v,Dynamic/Simdrop,NH,3482.649267591914,4.03227795751709,8.05756781624024,n/a
50,alpha_0.6_s2v,Dynamic/Simdrop,CI,2914.6520501683885,4.713968123549631,8.706442969716882,n/a
50,alpha_0.6_w2v,Dynamic/Simdrop,NH,3483.2953542516475,4.051188468567778,8.00126926056753,n/a
50,alpha_0.6_w2v,Dynamic/Simdrop,CI,2919.5835467007128,4.740146865647512,8.681300221615713,n/a
50,alpha_0.7_s2v,Dynamic/Simdrop,NH,3488.8150281898324,3.9691084305664996,8.078326591178515,n/a
50,alpha_0.7_s2v,Dynamic/Simdrop,CI,2916.338135576511,4.653443469736839,8.750172842048645,n/a
50,alpha_0.7_w2v,Dynamic/Simdrop,NH,3480.8034896078384,4.016917222890424,8.013776642212239,n/a
50,alpha_0.7_w2v,Dynamic/Simdrop,CI,2919.8945886650204,4.672163978959706,8.6555342685235,n/a
50,alpha_0.8_s2v,Dynamic/Simdrop,NH,3492.9362864992445,3.8897603999769372,8.10943696788465,n/a
50,alpha_0.8_s2v,Dynamic/Simdrop,CI,2918.8427285329144,4.599094166875708,8.787177365396847,n/a
50,alpha_0.8_w2v,Dynamic/Simdrop,NH,3484.673536176259,3.96452135435534,8.014466241891824,n/a
50,alpha_0.8_w2v,Dynamic/Simdrop,CI,2921.3174566741145,4.64026197161868,8.687568754916187,n/a
50,alpha_0.9_s2v,Dynamic/Simdrop,NH,3494.70263093598,3.8566809188218896,8.130368390488153,n/a
50,alpha_0.9_s2v,Dynamic/Simdrop,CI,2920.8687263923994,4.5657614681365395,8.806896582025958,n/a
50,alpha_0.9_w2v,Dynamic/Simdrop,NH,3486.613874138988,3.9354877498579786,8.01549629287173,n/a
50,alpha_0.9_w2v,Dynamic/Simdrop,CI,2925.1564623102404,4.589118653636747,8.695413108872307,n/a
50,alpha_1.0_s2v,Dynamic/Simdrop,NH,3495.3172865086894,3.8384026736842296,8.13914245436945,n/a
50,alpha_1.0_s2v,Dynamic/Simdrop,CI,2921.3999681866503,4.555130880802819,8.813834807916944,n/a
50,alpha_1.0_w2v,Dynamic/Simdrop,NH,3488.0386209544117,3.919813757538982,8.013670700057665,n/a
50,alpha_1.0_w2v,Dynamic/Simdrop,CI,2927.474999892848,4.581610245998559,8.690505342145181,n/a
50,average,Dynamic/Simdrop,NH,3496.7945886134403,4.0637987008593965,7.795475325497152,n/a
50,average,Dynamic/Simdrop,CI,2941.4229313687874,4.773706429515252,8.41822874048506,n/a
50,only_s2v,Dynamic/Simdrop,NH,3495.3172865084493,3.838401479508891,8.13914160351982,n/a
50,only_s2v,Dynamic/Simdrop,CI,2921.3999681865507,4.555131666661046,8.81383120881011,n/a
50,only_w2v,Dynamic/Simdrop,NH,3488.038620954131,3.9198126826002144,8.013674018830622,n/a
50,only_w2v,Dynamic/Simdrop,CI,2927.4749998930915,4.581611525676734,8.690505603312427,n/a
100,alpha_0_s2v,Dynamic/Simdrop,NH,3497.5491401818986,3.1217544011525282,8.09565935679552,n/a
100,alpha_0_s2v,Dynamic/Simdrop,CI,2944.764493175824,3.4390903739130665,8.744065306605629,n/a
100,alpha_0_w2v,Dynamic/Simdrop,NH,3496.0733380126603,3.2450443086544545,8.437442266808846,n/a
100,alpha_0_w2v,Dynamic/Simdrop,CI,2951.908230654747,3.559791123232301,9.18821759303966,n/a
100,alpha_0.1_s2v,Dynamic/Simdrop,NH,3499.0290283744393,3.1183542405426596,8.098029343048102,n/a
100,alpha_0.1_s2v,Dynamic/Simdrop,CI,2944.3205128568575,3.446286543353202,8.746047345898706,n/a
