Dimension,Alpha,Subject,Group,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
50,alpha_0.2_w2v,SNR-308,CI,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,8.193139639870267,5.095384827959996,0.1423260071672386,81.11311676519901
50,alpha_0.3_w2v,SNT-310,CI,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,9.521110134894764,6.461015846792559,0.1588330803367708,129.64605162388654
50,alpha_0.5_s2v,SNV-312,CI,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,11.249715699464968,5.345756946578232,-0.0876855438706946,84.68577246032368
50,alpha_0.5_s2v,SNY-315,CI,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,9.864449708141295,6.570928910068785,0.2103519940435476,96.55715517543015
50,alpha_0.4_s2v,SOE-320,CI,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,11.248896946701883,9.638338100121173,-2.502733593433191,55.2740618063072
50,average,SOQ-329,CI,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.25,8.069773886489108,4.628705666446738,0.215558155315325,118.06128410792148
50,alpha_0.4_s2v,SOX-335,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.5,10.150382757225165,9.062250962927685,0.047696752558152,50.949520197588456
50,alpha_0.0_w2v,SPA-338,CI,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,6.49515391596815,6.454142519145713,-0.1361545179423051,81.71662887434263
50,only_s2v,SPC-340,CI,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,8.848272445113846,6.052993060308582,0.11513644642275,102.08443970408824
50,only_s2v,SPH-344,CI,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,9.431073097125507,6.2873914456909565,-2.595946562926988,48.32422153027045
50,alpha_0.3_s2v,SPL-436,CI,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,8.4331200896136,4.906705684804078,0.0835711529634239,81.9608668716263
50,alpha_0.3_s2v,SPV-450,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,8.508959515072178,18.215402093018177,-0.4649631388153797,87.47152718645475
50,alpha_0.2_w2v,SPX-452,CI,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,8.811962763258627,9.37991177983632,-0.2517081744146487,102.3704693538231
50,alpha_0.0_s2v,SRF-483,CI,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=1.0,10.60916314742348,5.15887475255405,-2.672649993859967,77.77832629784514
50,alpha_0.2_s2v,SRR-498,CI,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.25,8.787170678839846,8.30499508092796,-0.2876149516705651,89.46268054616698
50,alpha_0.0_w2v,SSG-520,CI,forage_phonologicaldynamicglobal_simdrop,11.26468935531534,8.843644403374167,-0.3159278564301556,54.349549412342775
100,only_s2v,SSZ-539,CI,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=1.0,9.948648247460104,8.486139499329248,-0.285454113212113,61.546747170218765
50,average,SUG-544,CI,forage_phonologicaldynamicswitch_simdrop,9.466982572509693,5.5468299832024215,0.5180534714755473,66.90239161835134
50,only_w2v,SUT-556,CI,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,10.46987427601171,4.904760476021019,-2.546823437408814,72.70153950795175
50,average,SUV-558,CI,forage_phonologicaldynamicswitch_simdrop,6.160814458042712,5.386755201760527,0.5778116100659509,96.69930019072804
300,average,SVA-563,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,8.74589964520427,5.057336044908655,-0.4817094102871113,97.60331177273753
50,alpha_0.2_s2v,SVH-570,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.5,7.474684664342539,9.829317146333832,-0.4416931014573247,77.16036512709933
50,alpha_0.0_s2v,SVY-587,CI,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,7.122832965655979,6.573746311403917,-0.0836850244775781,89.29836986583176
50,alpha_0.5_s2v,SZA-781,CI,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,5.688467692769026,14.96257575013315,-0.4360404659326455,72.86181288466787
