ID,count
CAF-657,29
CAJ-663,20
CAM-666,25
CAN-667,18
CAP-671,19
CAQ-672,23
CAR-673,23
CAS-674,21
CAU-667,41
CAV-678,28
CAY-681,23
CBD-686,21
CBF-691,19
CBH-693,24
CBJ-697,23
CBL-698,20
CBM-702,27
CBP-707,28
CBS-711,24
CBW-715,18
CCB-720,14
CCC-721,15
CCD-722,29
CCF-724,18
CCH-726,23
CCL-730,24
CCX-744,18
CDG-753,24
CDH-754,14
CDM-759,19
CDR-764,18
CDU-767,19
SFZ-149,20
SGO-159,36
SIU-211,24
SIZ-390,17
SKE-234,28
SMK-401,24
SNI-300,18
SNR-308,16
SNT-310,27
SNV-312,18
SNY-315,20
SOA-317,7
SOE-320,13
SOQ-329,23
SOX-335,11
SPA-338,17
SPC-340,20
SPH-344,10
SPL-436,17
SPV-450,19
SPX-452,22
SRF-483,16
SRR-498,18
SSG-520,16
SSZ-539,13
SUG-544,15
SUT-556,15
SUV-558,19
SVA-563,21
SVH-570,15
SVY-587,19
SZA-781,17
