Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.45,2.836811590500857,forage_dynamic,8.421953539313794,1.3340830573390738,4.182221917723719,0.8981122633048092,,
delta_rise=0.0_fall=0.0,9.45,2.836811590500857,forage_phonologicaldynamicglobal,8.489834000921494,1.4012231731570464,4.405993795494975,1.191558856593896,-0.030101837089019035,0.08598795421991906
delta_rise=0.0_fall=0.0,9.45,2.836811590500857,forage_phonologicaldynamiclocal,8.514081080170397,1.397320029085666,4.767492389509974,1.6055319324519033,-0.14933794025408514,0.47141125435568815
delta_rise=0.0_fall=0.0,9.45,2.836811590500857,forage_phonologicaldynamicswitch,8.441213776846716,1.34805672562528,4.182490261202687,0.8975617015611101,-0.07412925665055485,0.4305129569509409
delta_rise=0.0_fall=0.25,8.816666666666666,2.747675785499851,forage_dynamic,8.480012536755881,1.3422081466283766,4.161881270514204,0.8634291038194224,,
delta_rise=0.0_fall=0.25,8.816666666666666,2.747675785499851,forage_phonologicaldynamicglobal,8.55108557088351,1.4086722735850443,4.399418051213177,1.1805723862137703,-0.03212765059499468,0.08661652666930823
delta_rise=0.0_fall=0.25,8.816666666666666,2.747675785499851,forage_phonologicaldynamiclocal,8.57273184897728,1.3996326837343405,4.698922596343067,1.45268253976381,-0.11973167586169846,0.3983461795720215
delta_rise=0.0_fall=0.25,8.816666666666666,2.747675785499851,forage_phonologicaldynamicswitch,8.497040558776138,1.3539948439888791,4.162391161677916,0.8627137366812117,-0.07201778942112268,0.4249420308695022
delta_rise=0.0_fall=0.5,7.933333333333334,2.5616834742454464,forage_dynamic,8.553528441601904,1.3485912211117825,4.0245012727828735,0.8686185496350971,,
delta_rise=0.0_fall=0.5,7.933333333333334,2.5616834742454464,forage_phonologicaldynamicglobal,8.624279514994676,1.4134729863759954,4.248675862520422,1.1853601723771,-0.031787160059002055,0.08593620929504339
delta_rise=0.0_fall=0.5,7.933333333333334,2.5616834742454464,forage_phonologicaldynamiclocal,8.643159354790477,1.3879892819253223,4.481653409108359,1.4331846705269282,-0.06648221882926506,0.12375258631620172
delta_rise=0.0_fall=0.5,7.933333333333334,2.5616834742454464,forage_phonologicaldynamicswitch,8.566114411010028,1.360723935673083,4.025095931862965,0.8678602525270958,-0.06720063736247352,0.3949162765867816
delta_rise=0.0_fall=0.75,6.966666666666667,2.489756793120342,forage_dynamic,8.638572563598181,1.3284977403886478,3.900268991370864,0.8656316586584906,,
delta_rise=0.0_fall=0.75,6.966666666666667,2.489756793120342,forage_phonologicaldynamicglobal,8.71559332600882,1.3982270189680959,4.127040569946113,1.207998715284373,-0.03247410286485814,0.0866734012626071
delta_rise=0.0_fall=0.75,6.966666666666667,2.489756793120342,forage_phonologicaldynamiclocal,8.721735723646423,1.3804570063496633,4.262949258386752,1.3356846671321403,-0.05324747769444482,0.1172160622102503
delta_rise=0.0_fall=0.75,6.966666666666667,2.489756793120342,forage_phonologicaldynamicswitch,8.654590673746798,1.3468848822371857,3.901082676672078,0.8649161376886898,-0.18136407070299806,0.6340020485091877
delta_rise=0.0_fall=1.0,5.733333333333333,2.548637980482037,forage_dynamic,8.771132040321229,1.315106351724147,3.686490712639763,0.848221837409647,,
delta_rise=0.0_fall=1.0,5.733333333333333,2.548637980482037,forage_phonologicaldynamicglobal,8.85301904164054,1.403988327056898,3.891469441993896,1.195658413043693,-0.030507600791928213,0.0879594649018963
delta_rise=0.0_fall=1.0,5.733333333333333,2.548637980482037,forage_phonologicaldynamiclocal,8.85507310567001,1.3821170929518978,3.990101367400044,1.2970106542890225,-0.04716231271885418,0.11003519026559762
delta_rise=0.0_fall=1.0,5.733333333333333,2.548637980482037,forage_phonologicaldynamicswitch,8.79110499414271,1.3386095711801926,3.6872142931277803,0.8478339923816689,-0.2225116712562113,0.8312414470046743
delta_rise=0.25_fall=0.0,10.2,2.891366458960192,forage_dynamic,8.340732553236602,1.3286194982302313,4.334792139396599,0.9230026294753608,,
delta_rise=0.25_fall=0.0,10.2,2.891366458960192,forage_phonologicaldynamicglobal,8.402016063072503,1.3739193773032543,4.588447685277111,1.2908551616326929,-0.031114435083487473,0.0883318148590307
delta_rise=0.25_fall=0.0,10.2,2.891366458960192,forage_phonologicaldynamiclocal,8.433466889112877,1.37935084262421,5.1174983861162024,1.9253840323347235,-0.18827536216670762,0.512075804220576
delta_rise=0.25_fall=0.0,10.2,2.891366458960192,forage_phonologicaldynamicswitch,8.356265547052166,1.3339267004630795,4.334685623060382,0.9223809392075827,0.002319453611009716,0.09958739999879647
delta_rise=0.25_fall=0.25,9.6,2.8118795611950858,forage_dynamic,8.399552447166496,1.331624470641905,4.303750928213699,0.8863396475837836,,
delta_rise=0.25_fall=0.25,9.6,2.8118795611950858,forage_phonologicaldynamicglobal,8.463566129619968,1.3770196505516794,4.57138947736957,1.2813702830762292,-0.03309415361275305,0.08898317624783784
delta_rise=0.25_fall=0.25,9.6,2.8118795611950858,forage_phonologicaldynamiclocal,8.492435736767929,1.3773865527122295,4.9956224168353085,1.7282390389633344,-0.15660658885506681,0.453149832097159
delta_rise=0.25_fall=0.25,9.6,2.8118795611950858,forage_phonologicaldynamicswitch,8.414218430225223,1.3355689602404957,4.303947470330458,0.8853891380574749,0.002292826806064278,0.10389254173120673
delta_rise=0.25_fall=0.5,8.683333333333334,2.7048824168323637,forage_dynamic,8.47572929730252,1.355657346287332,4.176396136393375,0.8889871403382639,,
delta_rise=0.25_fall=0.5,8.683333333333334,2.7048824168323637,forage_phonologicaldynamicglobal,8.541056975699785,1.3998108519206176,4.435480279590099,1.2908005395872162,-0.03308363605206405,0.08815232841904524
delta_rise=0.25_fall=0.5,8.683333333333334,2.7048824168323637,forage_phonologicaldynamiclocal,8.575492314789205,1.3909842080915649,4.832110274468265,1.7421499718710405,-0.15052948112503767,0.4326094816551363
delta_rise=0.25_fall=0.5,8.683333333333334,2.7048824168323637,forage_phonologicaldynamicswitch,8.485558138785551,1.3572365728461722,4.176576926108409,0.8879879012970285,0.005147722919417677,0.10099054443976378
delta_rise=0.25_fall=0.75,7.583333333333333,2.685092590996114,forage_dynamic,8.573155922290924,1.335790174992736,4.016209202220603,0.8900875474510459,,
delta_rise=0.25_fall=0.75,7.583333333333333,2.685092590996114,forage_phonologicaldynamicglobal,8.644879409560922,1.3837943840069717,4.275391729049981,1.3158172824117644,-0.03369679007240899,0.08868780325320419
delta_rise=0.25_fall=0.75,7.583333333333333,2.685092590996114,forage_phonologicaldynamiclocal,8.66770767866663,1.3836182784359536,4.575490014173112,1.708266519706158,-0.1389889606017628,0.44390757956960486
delta_rise=0.25_fall=0.75,7.583333333333333,2.685092590996114,forage_phonologicaldynamicswitch,8.582955484847215,1.3395658255632603,4.016509941366169,0.8891704576055013,-0.07020266929811028,0.413150537170278
delta_rise=0.25_fall=1.0,6.216666666666667,2.73917059628559,forage_dynamic,8.730833023492096,1.3089471550171408,3.780010853591641,0.8354931786529199,,
delta_rise=0.25_fall=1.0,6.216666666666667,2.73917059628559,forage_phonologicaldynamicglobal,8.807929243633348,1.3751604482123851,4.0056480407733375,1.2226547342459075,-0.031148716327705914,0.08811764907889648
delta_rise=0.25_fall=1.0,6.216666666666667,2.73917059628559,forage_phonologicaldynamiclocal,8.82596814591538,1.3818994159921039,4.209198466025355,1.505927225717671,-0.1317364424111048,0.4755713656950993
delta_rise=0.25_fall=1.0,6.216666666666667,2.73917059628559,forage_phonologicaldynamicswitch,8.744221592144358,1.3152233319202418,3.780296363433924,0.8348747331405798,-0.11358112991269638,0.6775866002978677
delta_rise=0.5_fall=0.0,11.35,3.330790696916675,forage_dynamic,8.267778589908676,1.3875649134391692,4.681806395202242,0.9529983231151816,,
delta_rise=0.5_fall=0.0,11.35,3.330790696916675,forage_phonologicaldynamicglobal,8.327914781261137,1.4335068424941722,4.944398529131203,1.2548944169716532,-0.03216012257264245,0.08754986845056548
delta_rise=0.5_fall=0.0,11.35,3.330790696916675,forage_phonologicaldynamiclocal,8.35753123296805,1.4234488607571858,5.740668111024092,2.2417465904719207,-0.2712449200058536,0.6474327344724713
delta_rise=0.5_fall=0.0,11.35,3.330790696916675,forage_phonologicaldynamicswitch,8.280882698563548,1.3958121048182521,4.681498841120058,0.9526976618124545,0.0008307398253527336,0.08683786871485559
delta_rise=0.5_fall=0.25,10.766666666666667,3.2319584705802695,forage_dynamic,8.31561100512693,1.3954674602548371,4.6342432609597175,0.9344981895600132,,
delta_rise=0.5_fall=0.25,10.766666666666667,3.2319584705802695,forage_phonologicaldynamicglobal,8.378614762078595,1.4413132078155975,4.911708794054127,1.2533471545783084,-0.0344910469943162,0.0881019029324385
delta_rise=0.5_fall=0.25,10.766666666666667,3.2319584705802695,forage_phonologicaldynamiclocal,8.41068009166208,1.4242040537124538,5.6752181844468454,2.172759109154112,-0.25554204281826304,0.6368960881193099
delta_rise=0.5_fall=0.25,10.766666666666667,3.2319584705802695,forage_phonologicaldynamicswitch,8.324885894855756,1.403607564051199,4.634084442365564,0.9340145942952445,0.0043428587898805306,0.08812942655834638
delta_rise=0.5_fall=0.5,9.833333333333334,3.189392139926074,forage_dynamic,8.412792513640683,1.399577223487631,4.511338509819633,0.8884587609904295,,
delta_rise=0.5_fall=0.5,9.833333333333334,3.189392139926074,forage_phonologicaldynamicglobal,8.477828489771719,1.4422817685925027,4.785864536696537,1.2382594889988165,-0.034864198487601875,0.08741230107260106
delta_rise=0.5_fall=0.5,9.833333333333334,3.189392139926074,forage_phonologicaldynamiclocal,8.517905747319526,1.4224120007827394,5.4132117591716025,2.0530626103051888,-0.19600445538366065,0.4965682081692825
delta_rise=0.5_fall=0.5,9.833333333333334,3.189392139926074,forage_phonologicaldynamicswitch,8.421551491571925,1.4074314061740922,4.511201705496261,0.8878072840361411,0.008020701910543167,0.09226592526218834
