group,mean_num_switches,mean_cluster_size,mean_semantic_similarity,mean_phonological_similarity,mean_frequency
NH,6.233333333333333,3.053407888407888,0.4322067333841323,0.2582515727513227,6.424025766026299
CI,5.0,3.27567821067821,0.43608562320632,0.2546853047693047,6.500210780834702
