,vocab
1819,tetrapod
1820,theropod
1821,theropod dinosaur
1822,thorny devil
1823,thoroughbred
1824,threadfin
1825,thresher shark
1826,thrip
1827,thrush
1828,thylacine
1829,tick
1830,tiger
1831,tiger beetle
1832,tiger cub
1833,tiger moth
1834,tiger rattlesnake
1835,tiger salamander
1836,tiger shark
1837,tigon
1838,tigress
1839,tilapia
1840,tilefish
1841,timber rattlesnake
1842,timber wolf
1843,titanosaur
1844,titi
1845,titi monkey
1846,titmouse
1847,toad
1848,toadfish
1849,tobacco budworm
1850,tobacco hornworm
1851,tody
1852,tom turkey
1853,tomato hornworm
1854,tomcat
1855,toothed whale
1856,tortes
1857,tortoise
1858,tortoiseshell
1859,tortuga
1860,toucan
1861,towhee
1862,toy poodle
1863,toy spaniel
1864,tragopan
1865,trapdoor spider
1866,tree shrew
1867,treefrog
1868,trematode
1869,trepang
1870,triceratops
1871,triggerfish
1872,trilobite
1873,tripletail
1874,trogon
1875,trotter
1876,trout
1877,trumpeter
1878,trumpeter swan
1879,tsetse
1880,tsetse fly
1881,tuatara
1882,tubeworm
1883,tufted puffin
1884,tufted titmouse
1885,tuna
1886,tundra swan
1887,tunicate
1888,tunny
1889,turbot
1890,turkey
1891,turkey buzzard
1892,turkey vulture
1893,turtle
1894,turtle dove
1895,turtledove
1896,tusker
1897,tussock moth
1898,tyrannosaur
1899,tyrannosaurus
1900,tyrannosaurus rex
1901,ungulate
1902,unicorn
1903,upland sandpiper
1904,urchin
1905,vampire bat
1906,vaquita
1907,varmint
1908,veal
1909,veery
1910,velociraptor
1911,venomous lizard
1912,vermin
1913,vertebrate
1914,vervet monkey
1915,vesper sparrow
1916,vicuna
1917,vinegarroon
1918,viper
1919,vireo
1920,vizsla
1921,vole
1922,vulture
1923,wagtail
1924,wahoo
1925,wallaby
1926,wallaroo
1927,walleye
1928,walleyed pike
1929,walrus
1930,wandering albatross
1931,wapiti
1932,warbler
1933,warthog
1934,wasp
1935,water bear
1936,water buffalo
1937,water bug
1938,water moccasin
1939,water snake
1940,waterbird
1941,waterbuck
1942,waterfowl
1943,waxwing
1944,weakfish
1945,weasel
1946,webworm
1947,weevil
1948,weimaraner
1949,western lowland gorilla
1950,western meadowlark
1951,western tanager
1952,westie
1953,whale
1954,whale shark
1955,wheatear
1956,whelk
1957,whelp
1958,whiff
1959,whippet
1960,whippoorwill
1961,whipsnake
1962,whiptail
1963,whirligig beetle
1964,white marlin
1965,white tailed deer
1966,white tiger
1967,white wolf
1968,whitebait
1969,whitefish
1970,whitefly
1971,whitetail deer
1972,whiting
1973,whooper
1974,whooper swan
1975,whooping crane
1976,widgeon
1977,widow spider
1978,wiener dog
1979,wigeon
1980,wiggler
1981,wild boar
1982,wild dog
1983,wildcat
1984,wildebeest
1985,willet
1986,winkle
1987,winter wren
1988,wireworm
1989,wolf
1990,wolf cub
1991,wolf pup
1992,wolf spider
1993,wolffish
1994,wolfhound
1995,wolverine
1996,wolves
1997,woman
1998,wombat
1999,wood pewee
2000,wood stork
2001,wood thrush
2002,woodchuck
2003,woodcock
2004,woodcock snipe
2005,woodland caribou
2006,woodpecker
2007,woodworm
2008,woolly adelgid
2009,woolly bear
2010,woolly mammoth
2011,woolly monkey
2012,woolly rhinoceros
2013,worm
2014,wrasse
2015,wren
2016,wriggler
2017,xerus
2018,yak
2019,yearling
2020,yellow lab
2021,yellow labrador
2022,yellow perch
2023,yellow warbler
2024,yellowfin
2025,yellowfin croaker
2026,yellowfin tuna
2027,yellowhammer
2028,yellowjacket
2029,yellowlegs
2030,yellowtail
2031,yellowtail flounder
2032,yellowtail snapper
2033,yellowthroat
2034,yorkie
2035,yorkshire terrier
2036,zebra
2037,zebra finch
2038,zebra fish
2039,zebra mussel
2040,zebrafish
2041,zebu
2042,zooplankton
2043,zorillo
2044,UNK
