ID	Word
SPL-436	wolf
SPL-436	dog
SPL-436	cow
SPL-436	hyena
SPL-436	lion
SPL-436	tiger
SPL-436	bear
SPL-436	cheetah
SPL-436	walrus
SPL-436	seal
SPL-436	polar
SPL-436	porcupine
SPL-436	horse
SPL-436	bull
SPL-436	bull
SPL-436	oxen
SPV-450	dog
SPV-450	cat
SPV-450	bird
SPV-450	pig
SPV-450	elephant
SPV-450	giraffe
SPV-450	alligator
SPV-450	snake
SPV-450	frog
SPV-450	fish
SPV-450	groundhog
SPV-450	boar
SPV-450	lion
SPV-450	tiger
SPV-450	wolf
SPV-450	coyote
SPV-450	chicken
SPV-450	rooster
SPV-450	bunny
SPX-452	cat
SPX-452	dog
SPX-452	dolphin
SPX-452	shark
SPX-452	alligator
SPX-452	crocodile
SPX-452	bird
SPX-452	bear
SPX-452	coyote
SPX-452	wolf
SPX-452	fish
SPX-452	seahorse
SPX-452	snail
SPX-452	koala
SPX-452	panda
SPX-452	grizzly
SPX-452	hyena
SPX-452	snake
SPX-452	frog
SPX-452	toad
SPX-452	lion
SPX-452	leopard
SRF-483	lion
SRF-483	bear
SRF-483	lion
SRF-483	cat
SRF-483	dog
SRF-483	lizard
SRF-483	bird
SRF-483	falcon
SRF-483	pelican
SRF-483	warthog
SRF-483	pig
SRF-483	horse
SRF-483	chicken
SRF-483	hog
SRF-483	saber_tooth_cat
SRF-483	duck
SRR-498	dog
SRR-498	cat
SRR-498	horse
SRR-498	turtle
SRR-498	ape
SRR-498	monkey
SRR-498	pony
SRR-498	tiger
SRR-498	shark
SRR-498	lizard
SRR-498	gecko
SRR-498	ant
SRR-498	worm
SRR-498	bird
SRR-498	bear
SRR-498	goat
SRR-498	deer
SRR-498	lion
SSG-520	lion
SSG-520	tiger
SSG-520	flamingo
SSG-520	monkey
SSG-520	whale
SSG-520	fish
SSG-520	shark
SSG-520	panther
SSG-520	cat
SSG-520	dog
SSG-520	snake
SSG-520	turtle
SSG-520	turtle
SSG-520	crab
SSG-520	squid
SSG-520	octopus
SSZ-539	pig
SSZ-539	cow
SSZ-539	horse
SSZ-539	cat
SSZ-539	fish
SSZ-539	dog
SSZ-539	monkey
SSZ-539	alligator
SSZ-539	monkey
SSZ-539	hippo
SSZ-539	dolphin
SSZ-539	shark
SSZ-539	rainbow
SUG-544	dog
SUG-544	cat
SUG-544	pig
SUG-544	cow
SUG-544	chicken
SUG-544	elephant
SUG-544	monkey
SUG-544	fish
SUG-544	giraffe
SUG-544	dolphin
SUG-544	dolphin
SUG-544	zebra
SUG-544	shark
SUG-544	turtle
SUG-544	cow
SUT-556	elephant
SUT-556	giraffe
SUT-556	turtle
