Dimension,Alpha,Subject,Group,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
50,alpha_0.2_w2v,SNR-308,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=1.0,8.193141149424303,5.095384447048954,0.142325995701102,81.11311676519924
50,alpha_0.3_w2v,SNT-310,CI,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,9.521115380285709,6.461016732955629,0.1588330443702624,129.64605162388827
50,alpha_0.5_s2v,SNV-312,CI,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=1.0,11.249718622668045,5.345758619245521,-0.0876855975029614,84.68577246032334
50,alpha_0.5_s2v,SNY-315,CI,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,9.864458588685576,6.570937622274698,0.2103521675028747,96.55715517546288
50,alpha_0.4_s2v,SOE-320,CI,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,11.248966118680736,9.638378361327192,-2.7177424841434323,55.27406174810186
50,average,SOQ-329,CI,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.25,8.069772556075883,4.628704026948359,0.2155581971462315,118.06128410792176
50,alpha_0.4_s2v,SOX-335,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.75,10.15037821246034,9.062249506276716,0.0476968280027093,50.94952019758917
50,only_s2v,SPA-338,CI,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,7.899978683864985,9.001343422016838,0.0089766277089321,82.45378429726985
50,only_s2v,SPC-340,CI,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,8.848275236232064,6.052989555194702,0.1151364725920608,102.08443970408676
50,only_s2v,SPH-344,CI,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,9.431079017439073,6.287390876817407,-3.103290866617983,48.32422152831101
50,alpha_0.4_w2v,SPL-436,CI,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=1.0,8.530031988236994,6.7263584410406,0.0841854541991509,83.5651296221712
50,alpha_0.3_s2v,SPV-450,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,8.50896041646681,18.21540838678249,-0.4649634856454572,87.47152718645086
50,alpha_0.2_w2v,SPX-452,CI,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,8.811963684500736,9.379907341143362,-0.2517080670854456,102.3704693538216
50,only_w2v,SRF-483,CI,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=1.0,10.609251875225334,5.158938880878637,-2.408934892301274,77.77832635692718
50,alpha_0.2_s2v,SRR-498,CI,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.25,8.787176404369642,8.304991242359007,-0.2876148203565122,89.4626805461724
50,alpha_0.5_s2v,SSG-520,CI,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,10.693376192797524,9.934702344115808,-0.1852861570508179,62.817704067263314
100,alpha_0.0_w2v,SSZ-539,CI,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=1.0,9.948640465413678,8.486138085479098,-0.2854539490630954,61.546747170214495
50,average,SUG-544,CI,forage_phonologicaldynamicswitch_simdrop,9.047050138266782,6.520588601943629,0.5207690719846361,70.32545352280094
50,alpha_0.0_s2v,SUT-556,CI,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,10.469872057918677,4.904760513659078,-2.526130609871849,72.70153951110095
50,average,SUV-558,CI,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,6.160803332086177,5.386748836937844,0.5778112238885722,96.69930019073225
300,alpha_0.0_s2v,SVA-563,CI,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,7.605433855435042,5.752403957501781,-0.381306027168446,101.9452528871284
50,alpha_0.2_s2v,SVH-570,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,7.474686943621185,9.829320746091788,-0.4416933604263652,77.1603651270992
300,only_w2v,SVY-587,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.5,7.966269744637736,9.9087651369188,-2.779730094442685,92.5257752309908
50,alpha_0.5_s2v,SZA-781,CI,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,6.077842389662672,14.874978921348715,-0.4318923540904937,78.28819508854403
