dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,NH,3482.9499316215074,3.216358819178766,7.881747976306811,-0.0155486360116516
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,NH,3473.23765984536,3.002991132281032,7.818346031685749,0.0545762639725465
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,NH,3433.701412121997,3.144110935409165,7.915776067803662,-1.733445432721754
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,NH,3482.12262409797,3.224480048733286,7.886035158938898,-0.0156222783892393
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,NH,3472.79221401474,3.008437392479434,7.822362323188886,0.0560032422449499
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,NH,3430.717252811808,3.1525204563680016,7.923298748979144,-1.883942821658864
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,NH,3472.7297950408724,3.3785017654525658,7.919054635713988,-0.0160000615371669
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,NH,3463.694786968196,3.1628832043289017,7.857125868011095,0.0524147133546848
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,NH,3428.48153782342,3.300341270088471,7.959956373657589,-1.5304844076849256
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,NH,3461.358412830932,3.5315159016766327,7.933110852628864,-0.0173198121531483
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,NH,3454.471827724107,3.282690605555844,7.862222444887431,0.0408384269647443
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,NH,3428.61455415174,3.4247833668154457,7.934633245972818,-1.2623509237815187
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,NH,3447.7831818685327,3.71033956883889,7.9576671595977215,-0.0187044571294586
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,NH,3441.838857387544,3.538007070431936,7.905212385508229,0.0318775498254132
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,NH,3426.2028839228565,3.612244802433564,7.97369309498429,-0.8525107683259889
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,NH,3437.116449912795,3.8296368853278966,7.995718578889959,-0.0201122794949434
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,NH,3435.4523006607933,3.7010254399225575,7.948017426650152,0.0172239095045465
