model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
Dynamic/Simdrop,NH,3294.415813985622,3.8283492702800586,7.014733327476003,n/a
Dynamic/Simdrop,CI,2844.69545418115,3.722242243739138,7.5764785815787405,n/a
Static/None,NH,3358.3094368530233,3.1237962583524146,6.87021921959279,n/a
Static/None,CI,2876.125168788194,3.165873992154816,7.423821443106748,n/a
